Offset,Data,Class
-3569,-3489,0
-3513.6,-3479,0
-3449.6,-3583,0
-3471.8,-3585,0
-3526.6,-3439,0
-3515,-3691,0
-3555.4,-4045,0
-3668.6,-3757,0
-3703.4,-3225,0
-3631.4,-3640,0
-3671.6,-3709,0
-3675.2,-3611,0
-3588.4,-3502,0
-3537.4,-3499,0
-3592.2,-3613,0
-3586.8,-3613,0
-3567.6,-3866,0
-3618.6,-3866,0
-3691.4,-3508,0
-3693.2,-3667,0
-3704,-3575,0
-3696.4,-3625,0
-3648.2,-3625,0
-3600,-3625,0
-3623.4,-3643,0
-3618.6,-3726,0
-3648.8,-3983,0
-3720.4,-3772,0
-3749.8,-3302,0
-3685.2,-3354,0
-3627.4,-3556,0
-3593.4,-3578,0
-3512.4,-3578,0
-3473.6,-3578,0
-3528.8,-3485,0
-3555,-3499,0
-3543.6,-3569,0
-3541.8,-3569,0
-3540,-3816,0
-3587.6,-3547,0
-3600,-3547,0
-3609.6,-3398,0
-3575.4,-3398,0
-3541.2,-3548,0
-3487.6,-3743,0
-3526.8,-3774,0
-3572.2,-3774,0
-3647.4,-3774,0
-3722.6,-3774,0
-3767.8,-3958,0
-3810.8,-3554,0
-3766.8,-3257,0
-3663.4,-3489,0
-3606.4,-3719,0
-3595.4,-3594,0
-3522.6,-3594,0
-3530.6,-3619,0
-3603,-3633,0
-3631.8,-3528,0
-3593.6,-3777,0
-3630.2,-4046,0
-3720.6,-3701,0
-3737,-3268,0
-3664,-3283,0
-3615,-3594,0
-3578.4,-3488,0
-3466.8,-3565,0
-3439.6,-3461,0
-3478.2,-3455,0
-3512.6,-3455,0
-3484.8,-3751,0
-3537.4,-3654,0
-3555.2,-3243,0
-3511.6,-3337,0
-3488,-3728,0
-3542.6,-3697,0
-3531.8,-3697,0
-3540.4,-3697,0
-3631.2,-3697,0
-3703.2,-3766,0
-3710.8,-3766,0
-3724.6,-3917,0
-3768.6,-3346,0
-3698.4,-3478,0
-3654.6,-3478,0
-3597,-3765,0
-3596.8,-3630,0
-3539.4,-3630,0
-3596.2,-3630,0
-3626.6,-3598,0
-3650.6,-3914,0
-3680.4,-3914,0
-3737.2,-3914,0
-3794,-3161,0
-3700.2,-3670,0
-3714.6,-3616,0
-3655,-3598,0
-3591.8,-3559,0
-3520.8,-3503,0
-3589.2,-3658,0
-3586.8,-3949,0
-3653.4,-3925,0
-3718.8,-3371,0
-3681.2,-3348,0
-3650.2,-3554,0
-3629.4,-3542,0
-3548,-3542,0
-3471.4,-3572,0
-3511.6,-3699,0
-3581.8,-4006,0
-3672.2,-4062,0
-3776.2,-3647,0
-3797.2,-3450,0
-3772.8,-3560,0
-3745,-3555,0
-3654.8,-3664,0
-3575.2,-3711,0
-3588,-3587,0
-3615.4,-3640,0
-3631.4,-3640,0
-3648.4,-3640,0
-3643.6,-3670,0
-3635.4,-3670,0
-3652,-3787,0
-3681.4,-3787,0
-3710.8,-3526,0
-3688,-3526,0
-3659.2,-3909,0
-3707,-4037,0
-3757,-3958,0
-3791.2,-3425,0
-3771,-3425,0
-3750.8,-3802,0
-3729.4,-3802,0
-3682.4,-3833,0
-3657.4,-3676,0
-3707.6,-3679,0
-3758.4,-3863,0
-3770.6,-3863,0
-3782.8,-3821,0
-3780.4,-3347,0
-3714.6,-3410,0
-3660.8,-3615,0
-3611.2,-3615,0
-3561.6,-3615,0
-3520.4,-3615,0
-3574,-3681,0
-3628.2,-3681,0
-3641.4,-3938,0
-3706,-3491,0
-3681.2,-3287,0
-3615.6,-3792,0
-3637.8,-3669,0
-3635.4,-3669,0
-3581.6,-3669,0
-3617.2,-3732,0
-3706.2,-3732,0
-3694.2,-3894,0
-3739.2,-3719,0
-3749.2,-3259,0
-3667.2,-3259,0
-3572.6,-3683,0
-3562.8,-3627,0
-3509.4,-3442,0
-3454,-3442,0
-3490.6,-3670,0
-3572.8,-3641,0
-3564.4,-3641,0
-3567.2,-3745,0
-3627.8,-3968,0
-3733,-3968,0
-3792.6,-3259,0
-3716.2,-3551,0
-3698.2,-3667,0
-3682.6,-3787,0
-3646.4,-3773,0
-3607.4,-3794,0
-3714.4,-3717,0
-3747.6,-3811,0
-3776.4,-3952,0
-3809.4,-3865,0
-3827.8,-3394,0
-3747.8,-3394,0
-3683.2,-3394,0
-3599.8,-3855,0
-3580.4,-3855,0
-3578.4,-3835,0
-3666.6,-3748,0
-3737.4,-3748,0
-3808.2,-3744,0
-3786,-3907,0
-3796.4,-3907,0
-3810.8,-3395,0
-3740.2,-3395,0
-3669.6,-3763,0
-3673.4,-3763,0
-3644.6,-3763,0
-3615.8,-3797,0
-3696.2,-3720,0
-3761.2,-3743,0
-3757.2,-3927,0
-3790,-3927,0
-3822.8,-3217,0
-3706.8,-3438,0
-3650.4,-3790,0
-3659.8,-3790,0
-3632.4,-3800,0
-3607,-3803,0
-3724.2,-3803,0
-3797.2,-3803,0
-3799.8,-4008,0
-3843.4,-3759,0
-3835.2,-3418,0
-3758.2,-3418,0
-3681.2,-3823,0
-3685.2,-3823,0
-3648.2,-3846,0
-3665.6,-3846,0
-3751.2,-3703,0
-3808.2,-3786,0
-3800.8,-3786,0
-3793.4,-3900,0
-3804.2,-3900,0
-3815,-3505,0
-3775.4,-3505,0
-3719.2,-3738,0
-3709.6,-3738,0
-3677.2,-3781,0
-3653.4,-3781,0
-3708.6,-3717,0
-3751,-3724,0
-3748.2,-3990,0
-3798.6,-3597,0
-3761.8,-3366,0
-3678.8,-3366,0
-3608.6,-3908,0
-3645.4,-3908,0
-3629,-3908,0
-3691.2,-3923,0
-3802.6,-3923,0
-3914,-3705,0
-3873.4,-4017,0
-3895.2,-4017,0
-3917,-3719,0
-3876.2,-3628,0
-3817.2,-3850,0
-3846.2,-3767,0
-3796.2,-3767,0
-3746.2,-3752,0
-3752.8,-3752,0
-3777.6,-4088,0
-3825.2,-4100,0
-3891.8,-4100,0
-3958.4,-3507,0
-3909.4,-3744,0
-3907.8,-3816,0
-3853.4,-3816,0
-3796.6,-3750,0
-3726.6,-3750,0
-3775.2,-3710,0
-3768.4,-4083,0
-3821.8,-4083,0
-3875.2,-4083,0
-3941.8,-3513,0
-3894.4,-3513,0
-3855,-3779,0
-3794.2,-3779,0
-3733.4,-3779,0
-3672.6,-3710,0
-3712,-3710,0
-3751.4,-3992,0
-3794,-3992,0
-3836.6,-4081,0
-3897,-3928,0
-3940.6,-3590,0
-3916.6,-3659,0
-3850,-3946,0
-3840.8,-3864,0
-3797.4,-3864,0
-3784.6,-3868,0
-3840.2,-3741,0
-3856.6,-3809,0
-3829.2,-4089,0
-3874.2,-4089,0
-3919.2,-3699,0
-3885.4,-3888,0
-3914.8,-3888,0
-3930.6,-4025,0
-3917.8,-3961,0
-3892.2,-3816,0
-3915.6,-3816,0
-3901.2,-3804,0
-3884.4,-4020,0
-3883.4,-4020,0
-3895.2,-4020,0
-3936,-4020,0
-3976.8,-3848,0
-3985.6,-3988,0
-3979.2,-3952,0
-3965.6,-3934,0
-3948.4,-3859,0
-3916.2,-3933,0
-3933.2,-3933,0
-3922.2,-3933,0
-3918.4,-4055,0
-3942.6,-3556,0
-3882,-3539,0
-3803.2,-3539,0
-3724.4,-3809,0
-3699.6,-3809,0
-3650.4,-3969,0
-3733,-3969,0
-3819,-3969,0
-3905,-3966,0
-3936.4,-4196,0
-4013.8,-4196,0
-4059.2,-4196,0
-4104.6,-3912,0
-4093.2,-3912,0
-4082.4,-4012,0
-4045.6,-3939,0
-3994.2,-3939,0
-3942.8,-4149,0
-3990.2,-4149,0
-4037.6,-4149,0
-4065,-3453,0
-3967.8,-3754,0
-3930.8,-3904,0
-3881.8,-3665,0
-3785,-3856,0
-3726.4,-3856,0
-3807,-3945,0
-3845.2,-3763,0
-3817,-3909,0
-3865.8,-4187,0
-3932,-4187,0
-3998.2,-4187,0
-4046.6,-3835,0
-4061,-3835,0
-4046.2,-3936,0
-3996,-4043,0
-3967.2,-4043,0
-3938.4,-4043,0
-3980,-4208,0
-4054.6,-4208,0
-4109,-4027,0
-4105.8,-3520,0
-4001.2,-3950,0
-3982.6,-3881,0
-3917.2,-3881,0
-3851.8,-3911,0
-3828.6,-3795,0
-3883.6,-3989,0
-3891.4,-3989,0
-3913,-3700,0
-3876.8,-3375,0
-3769.6,-4012,0
-3813,-4012,0
-3817.6,-4044,0
-3828.6,-3994,0
-3887.4,-4010,0
-4014.4,-4010,0
-4014,-4010,0
-4013.6,-4286,0
-4062,-3981,0
-4059.4,-3538,0
-3965,-3754,0
-3913.8,-3993,0
-3910.4,-3993,0
-3851.8,-4034,0
-3862.4,-3919,0
-3938.6,-3919,0
-3971.6,-4122,0
-3997.4,-4340,0
-4066.8,-4120,0
-4084,-3646,0
-4029.4,-3825,0
-4010.6,-3825,0
-3951.2,-4036,0
-3890.4,-4087,0
-3883.8,-4087,0
-3972,-4087,0
-4024.4,-3909,0
-4041.2,-4300,0
-4094,-4284,0
-4133.4,-3466,0
-4009.2,-4099,0
-4011.6,-4069,0
-4043.6,-4050,0
-3993.6,-4050,0
-3946.8,-4014,0
-4056.4,-4014,0
-4039.4,-4089,0
-4043.4,-4089,0
-4051.2,-4089,0
-4059,-3880,0
-4032.2,-4049,0
-4039.2,-4049,0
-4031.2,-4047,0
-4022.8,-4047,0
-4014.4,-4047,0
-4047.8,-3898,0
-4017.6,-4020,0
-4011.8,-4020,0
-4006.4,-4167,0
-4030.4,-3731,0
-3967.2,-3606,0
-3908.8,-3698,0
-3844.4,-3952,0
-3830.8,-3949,0
-3787.2,-3820,0
-3805,-3820,0
-3847.8,-3908,0
-3889.8,-3982,0
-3895.8,-4145,0
-3935,-4145,0
-4000,-4113,0
-4058.6,-3559,0
-3988.8,-3689,0
-3930.2,-3944,0
-3890,-3987,0
-3858.4,-4005,0
-3836.8,-4005,0
-3926,-4005,0
-3989.2,-4005,0
-4001.4,-4266,0
-4057.2,-4095,0
-4075.2,-4095,0
-4093.2,-3636,0
-4019.4,-3947,0
-4007.8,-3947,0
-3944,-4053,0
-3935.6,-3969,0
-3910.4,-3947,0
-3972.6,-3947,0
-3972.6,-3928,0
-3968.8,-4183,0
-3994.8,-4283,0
-4057.6,-4283,0
-4124.8,-3633,0
-4062,-3786,0
-4033.6,-3979,0
-3992.8,-3974,0
-3931,-3995,0
-3873.4,-3995,0
-3945.8,-4048,0
-3998.2,-3899,0
-3982.2,-4188,0
-4025,-3807,0
-3987.4,-3860,0
-3960.4,-3970,0
-3944.8,-3869,0
-3938.8,-3869,0
-3875,-4009,0
-3915.4,-4009,0
-3945.2,-4277,0
-4006.6,-4251,0
-4083,-3645,0
-4038.2,-4015,0
-4039.4,-3982,0
-4034,-3894,0
-3957.4,-4003,0
-3907.8,-4003,0
-3979.4,-4046,0
-3985.6,-4165,0
-4022.2,-4165,0
-4076.4,-3793,0
-4034.4,-3525,0
-3938.8,-3525,0
-3834.6,-3856,0
-3772.8,-3696,0
-3679,-3748,0
-3670,-3850,0
-3735,-3850,0
-3800,-3996,0
-3828,-3879,0
-3864.6,-3963,0
-3907.6,-4057,0
-3949,-4024,0
-3983.8,-3550,0
-3894.6,-3900,0
-3898.8,-3944,0
-3895,-3798,0
-3843.2,-3969,0
-3832.2,-3969,0
-3916,-3888,0
-3913.6,-3888,0
-3902.4,-4267,0
-3996.2,-4014,0
-4005.2,-3589,0
-3929.2,-3508,0
-3853.2,-4009,0
-3877.4,-4096,0
-3843.2,-4094,0
-3859.2,-3962,0
-3933.8,-3878,0
-4007.8,-3792,0
-3964.4,-4002,0
-3945.6,-4002,0
-3927.2,-3968,0
-3928.4,-3580,0
-3868.8,-3580,0
-3826.4,-3899,0
-3805.8,-3857,0
-3776.8,-3930,0
-3769.2,-3930,0
-3839.2,-3887,0
-3900.6,-3882,0
-3897.2,-4022,0
-3930.2,-4126,0
-3969.4,-4126,0
-4008.6,-3405,0
-3912.2,-3773,0
-3890.4,-3901,0
-3866.2,-3901,0
-3821.2,-3762,0
-3748.4,-3927,0
-3852.8,-3927,0
-3883.6,-3811,0
-3865.6,-4126,0
-3910.6,-4126,0
-3983.4,-3562,0
-3910.4,-3853,0
-3895.6,-3839,0
-3901.2,-3893,0
-3854.6,-3840,0
-3797.4,-3846,0
-3854.2,-3833,0
-3850.2,-4001,0
-3882.6,-4304,0
-3964.8,-4202,0
-4037.2,-3714,0
-4010.8,-3714,0
-3987,-3920,0
-3970.8,-3856,0
-3881.2,-3774,0
-3795.6,-3757,0
-3804.2,-3671,0
-3795.6,-3601,0
-3731.8,-3921,0
-3744.8,-4047,0
-3799.4,-3766,0
-3801.2,-3766,0
-3820.2,-3510,0
-3802,-3798,0
-3777.4,-3738,0
-3715.6,-3738,0
-3710,-3827,0
-3722.2,-3712,0
-3762.6,-3748,0
-3752.6,-3748,0
-3754.6,-4033,0
-3813.6,-3483,0
-3744.8,-3483,0
-3699,-3431,0
-3635.6,-3709,0
-3627.8,-3709,0
-3563,-3709,0
-3608.2,-3912,0
-3694,-3912,0
-3790.2,-3912,0
-3830.8,-3865,0
-3862,-3865,0
-3893.2,-3858,0
-3882.4,-3361,0
-3772.2,-3342,0
-3658.2,-3803,0
-3645.8,-3762,0
-3625.2,-3762,0
-3606,-3551,0
-3644,-3597,0
-3695,-3634,0
-3661.2,-3634,0
-3635.6,-3583,0
-3599.8,-3216,0
-3532.8,-3557,0
-3524.8,-3699,0
-3537.8,-3551,0
-3521.2,-3481,0
-3500.8,-3348,0
-3527.2,-3303,0
-3476.4,-3303,0
-3397.2,-3303,0
-3347.6,-3347,0
-3320.8,-3347,0
-3320.6,-3347,0
-3329.4,-3246,0
-3318,-3247,0
-3306.8,-3361,0
-3309.6,-3279,0
-3296,-3108,0
-3248.2,-3108,0
-3220.6,-3108,0
-3192.8,-3108,0
-3142.2,-3108,0
-3108,-2817,0
-3049.8,-3173,0
-3062.8,-3248,0
-3090.8,-3303,0
-3129.8,-3303,0
-3168.8,-3442,0
-3293.8,-3282,0
-3315.6,-3343,0
-3334.6,-3392,0
-3352.4,-3079,0
-3307.6,-2803,0
-3179.8,-2803,0
-3084,-3277,0
-3070.8,-3203,0
-3033,-3202,0
-3057.6,-3193,0
-3135.6,-3173,0
-3209.6,-3046,0
-3163.4,-3046,0
-3132,-3209,0
-3133.4,-3106,0
-3116,-2684,0
-3018.2,-2880,0
-2985,-2934,0
-2962.6,-2931,0
-2907,-2792,0
-2844.2,-2792,0
-2865.8,-2763,0
-2842.4,-2912,0
-2838,-3100,0
-2871.8,-2741,0
-2861.6,-2741,0
-2851.4,-2931,0
-2885,-2931,0
-2888.8,-3079,0
-2884.6,-3079,0
-2952.2,-2981,0
-3000.2,-2981,0
-3010.2,-3389,0
-3101.8,-3389,0
-3163.8,-3389,0
-3225.8,-2662,0
-3162,-2758,0
-3117.4,-3133,0
-3066.2,-3133,0
-3015,-2977,0
-2932.6,-2978,0
-2995.8,-3014,0
-3047,-2993,0
-3019,-3264,0
-3045.2,-3231,0
-3096,-2721,0
-3044.6,-2986,0
-3039,-3053,0
-3051,-2884,0
-2975,-2884,0
-2905.6,-2910,0
-2943.4,-2910,0
-2928.2,-3112,0
-2940,-3203,0
-3003.8,-3192,0
-3065.4,-3499,0
-3183.2,-3499,0
-3301,-3499,0
